Time,Track ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2]
1.001002,22,1,746773.53,3150520.32,16.4101,-0.2197,-0.3215
1.001002,18,1,746776.02,3150584.81,16.8657,0.9903,-0.2986
1.001002,43,1,746767.25,3150499.64,6.5216,1.2348,-0.1433
1.001002,37,2,746844.95,3150538.24,26.0441,0.0653,0.4945
1.001002,40,3,746836.21,3150522.89,24.0282,-0.4319,1.2885
1.001002,19,8,746778.44,3150529.99,19.4551,0.0534,0.7805
1.001002,42,3,746810.61,3150497.85,0.0125,-0.0025,0.0467
1.001002,13,1,746847.15,3150563.84,14.6948,0.1117,-0.2618
1.001002,10,1,746805.79,3150573.27,17.2026,-0.9781,0.5221
1.001002,29,3,746795.96,3150507.97,20.8199,0.102,0.8037
1.001002,6,1,746817.83,3150572.9,19.9772,0.1252,1.2892
1.001002,34,3,746813.76,3150510.51,23.9088,-0.0613,1.7251
1.001002,8,1,746768.22,3150589.69,11.4179,0.1721,-0.2006
1.001002,27,3,746800.21,3150580.29,23.7629,-0.1216,-0.1629
1.001002,3,1,746855.85,3150489.73,9.4481,-1.474,0.1321
1.001002,35,1,746766.24,3150548.41,28.6308,0.6008,-1.1624
1.001002,4,4,746784.58,3150521.01,19.5213,0.029,0.6687
1.001002,32,2,746851.16,3150491.15,7.7846,-1.136,0.0682
1.001002,2,2,746815.33,3150577.4,20.1503,0.0641,0.6729
1.001002,24,3,746867.95,3150509.1,30.6995,0.0658,-0.5884
1.001002,25,3,746865.39,3150509.46,35.536,0.3931,-0.9345
1.001002,44,1,746848.98,3150575.67,9.4577,1.9612,-0.5362
1.201202,17,1,746839.48,3150531.2,23.1838,0.4339,1.4663
1.201202,29,3,746794.89,3150508.41,20.8909,0.1029,0.9022
1.201202,5,1,746791.88,3150579.46,19.7854,-0.2695,-0.4385
1.201202,18,1,746776.88,3150584.37,17.6125,1.0832,-0.3245
1.201202,44,1,746848.78,3150575.18,11.0966,2.4959,-0.5597
1.201202,30,3,746775.16,3150549.44,18.9636,0.1611,0.3717
1.201202,41,3,746836.98,3150521.09,27.1525,-0.3404,1.0541
1.201202,13,1,746847.08,3150563.02,14.7885,0.1484,-0.2537
1.201202,10,1,746806.7,3150573.41,16.524,-0.8627,0.5694
1.201202,32,2,746850.86,3150491.4,7.0071,-0.9684,0.0355
1.201202,35,1,746765.62,3150549.89,29.1076,0.7202,-1.2692
1.201202,9,1,746798.97,3150575.88,17.1887,0.1241,-0.0853
1.201202,12,1,746780.03,3150555.34,23.4073,0.1034,1.0891
1.201202,40,3,746835.39,3150521.84,23.6519,-0.6235,1.3071
1.201202,22,1,746773.62,3150521.22,16.2331,-0.2973,-0.285
